contig	start	end	probe_target	length
ENSMUSG00002075600_Gm56362_rRNA(+)	35	86	probe_5S	52
ENSMUSG00002076757_Gm56176_rRNA(+)	3	104	probe_5S	102
ENSMUSG00000119216_n-R5s151_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002075974_Gm54618_rRNA(+)	51	100	probe_5S	50
ENSMUSG00002075988_Gm54769_rRNA(-)	57	113	probe_5S	57
ENSMUSG00002075838_Gm56162_rRNA(+)	39	119	probe_5S	81
ENSMUSG00002075755_Gm56166_rRNA(+)	64	116	probe_5S	53
ENSMUSG00002075809_Gm55473_rRNA(-)	25	97	probe_5S	73
ENSMUSG00002074968_Gm54954_rRNA(+)	2	98	probe_5S	97
ENSMUSG00002075471_Gm54963_rRNA(+)	39	91	probe_5S	53
ENSMUSG00000119639_n-R5s93_rRNA(-)	27	119	probe_5S	93
ENSMUSG00002074996_Gm55736_rRNA(-)	41	100	probe_5S	60
ENSMUSG00000119844_n-R5s100_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119714_n-R5s101_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119920_n-R5s102_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118922_n-R5s103_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118725_n-R5s104_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118907_n-R5s105_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119730_n-R5s106_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119204_n-R5s107_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119451_n-R5s108_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119440_n-R5s109_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118798_n-R5s110_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119009_n-R5s111_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119767_n-R5s112_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119523_n-R5s113_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119175_n-R5s114_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119399_n-R5s115_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119748_Gm25018_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119210_n-R5s117_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118860_n-R5s118_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119430_n-R5s119_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118867_n-R5s120_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119919_n-R5s121_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119118_n-R5s122_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119521_n-R5s123_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119299_n-R5s124_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119904_n-R5s125_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119012_Gm24312_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118717_n-R5s127_rRNA(-)	1	119	probe_5S	119
ENSMUSG00001118664_n-R5s128_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118910_n-R5s129_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119562_n-R5s130_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119002_n-R5s131_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119493_Gm26391_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119324_n-R5s133_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119587_n-R5s134_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119280_Rn5s_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118945_n-R5s136_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119925_Rn5s-ps1_rRNA(-)	1	109	probe_5S	109
ENSMUSG00000118796_n-R5s138_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119762_n-R5s139_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118747_Gm22109_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119615_n-R5s141_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118920_n-R5s142_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119038_n-R5s143_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119414_n-R5s144_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119561_Gm25212_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119014_n-R5s146_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118870_Gm22291_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000118727_Gm23284_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119808_n-R5s149_rRNA(-)	1	119	probe_5S	119
ENSMUSG00000119181_Gm23647_rRNA(-)	1	109	probe_5S	109
ENSMUSG00002075588_Gm54474_rRNA(+)	8	93	probe_5S	86
ENSMUSG00002075302_Gm54968_rRNA(+)	27	80	probe_5S	54
ENSMUSG00002076701_Gm54994_rRNA(-)	15	93	probe_5S	79
ENSMUSG00002074864_Gm55246_rRNA(-)	7	97	probe_5S	91
ENSMUSG00002075972_Gm55932_rRNA(+)	31	80	probe_5S	50
ENSMUSG00002075053_Gm55947_rRNA(-)	29	100	probe_5S	72
ENSMUSG00000119822_n-R5s92_rRNA(-)	39	119	probe_5S	81
ENSMUSG00000119155_n-R5s86_rRNA(+)	32	119	probe_5S	88
ENSMUSG00000065107_n-R5s88_rRNA(+)	1	117	probe_5S	117
ENSMUSG00002075362_Gm55789_rRNA(-)	7	62	probe_5S	56
ENSMUSG00002074890_Gm54944_rRNA(+)	1	82	probe_5S	82
ENSMUSG00002075476_Gm55130_rRNA(+)	34	90	probe_5S	57
ENSMUSG00000119837_n-R5s71_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002075039_Gm55312_rRNA(-)	29	79	probe_5S	51
ENSMUSG00002075671_Gm54702_rRNA(+)	1	96	probe_5S	96
ENSMUSG00002076424_Gm55188_rRNA(+)	26	80	probe_5S	55
ENSMUSG00000119139_n-R5s58_rRNA(-)	28	119	probe_5S	92
ENSMUSG00002075487_Gm54434_rRNA(-)	34	84	probe_5S	51
ENSMUSG00000064548_n-R5s65_rRNA(+)	3	113	probe_5S	111
ENSMUSG00000118897_n-R5s60_rRNA(-)	28	119	probe_5S	92
ENSMUSG00002075469_Gm54747_rRNA(-)	7	105	probe_5S	99
ENSMUSG00002076178_Gm55080_rRNA(+)	1	96	probe_5S	96
ENSMUSG00002076888_Gm54375_rRNA(-)	31	110	probe_5S	80
ENSMUSG00000119481_n-R5s64_rRNA(-)	1	119	probe_5S	119
ENSMUSG00002076045_Gm54901_rRNA(+)	31	92	probe_5S	62
ENSMUSG00002076066_Gm55311_rRNA(+)	9	90	probe_5S	82
ENSMUSG00000064959_n-R5s41_rRNA(+)	26	115	probe_5S	90
ENSMUSG00002076461_Gm54382_rRNA(-)	32	84	probe_5S	53
ENSMUSG00000070225_n-R5s33_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002076865_Gm55020_rRNA(-)	42	95	probe_5S	54
ENSMUSG00002076095_Gm54409_rRNA(+)	1	92	probe_5S	92
ENSMUSG00000119584_Rn18s-rs5_rRNA(+)	1	203	probe_18S	203
ENSMUSG00000119584_Rn18s-rs5_rRNA(+)	205	1849	probe_18S	1645
ENSMUSG00002076627_Gm55909_rRNA(-)	35	89	probe_5S	55
ENSMUSG00000065387_Gm55596_rRNA(+)	21	119	probe_5S	99
ENSMUSG00000064748_n-R5s28_rRNA(+)	1	119	probe_5S	119
ENSMUSG00000075874_n-R5s1_rRNA(-)	1	119	probe_5S	119
ENSMUSG00002075795_Gm54867_rRNA(-)	10	124	probe_5.8S	115
ENSMUSG00000064857_n-R5s25_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002076303_Gm54677_rRNA(-)	30	84	probe_5S	55
ENSMUSG00002075307_Gm54802_rRNA(+)	11	77	probe_5S	67
ENSMUSG00000064337_mt-Rnr1_Mt_rRNA(+)	217	275	probe_mt12S	59
ENSMUSG00000064337_mt-Rnr1_Mt_rRNA(+)	388	469	probe_mt12S	82
ENSMUSG00000064337_mt-Rnr1_Mt_rRNA(+)	492	636	probe_mt12S	145
ENSMUSG00000064337_mt-Rnr1_Mt_rRNA(+)	670	729	probe_mt12S	60
ENSMUSG00000064339_mt-Rnr2_Mt_rRNA(+)	501	562	probe_mt16S	62
ENSMUSG00000064339_mt-Rnr2_Mt_rRNA(+)	808	982	probe_mt16S	175
ENSMUSG00000064339_mt-Rnr2_Mt_rRNA(+)	1249	1463	probe_mt16S	215
